species,trend_class,trend_grade,trend_slope,p_positive,p_negative,mk_tau,mk_p,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Falco subbuteo,expanding,expanding,0.029474079758301828,0.965,0.035,0.6,0.2206713619198468,0.39999999999999997,8,Woodland,3,3,Carnivore,Aerial,3
Pericrocotus ethologus,stable,stable,0.003270756816163009,0.6275,0.3725,0.4,0.4624327264504763,0.6999999999999997,2,Forest,1,3,Carnivore,Insessorial,3
Muscicapa sibirica,stable,stable,0.006774801042102399,0.775,0.225,0.8,0.08641073297370003,1,2,Forest,1,3,Carnivore,Insessorial,3
Picumnus innominatus,expanding,expanding,0.01580905012111773,0.9575,0.0425,1,0.02748633611151034,1,2,Forest,1,1,Carnivore,Insessorial,1
Sternula albifrons,expanding,strong_expanding,0.03969769248738522,1,0,1,0.02748633611151034,0.6,8,Coastal,3,3,Carnivore,Aerial,3
Butorides striata,stable,stable,0.015175668947832541,0.925,0.075,1,0.02748633611151034,0.09999999999999999,8,Wetland,3,1,Carnivore,Terrestrial,1
Yungipicus canicapillus,expanding,strong_expanding,0.03363831978811646,0.995,0.005,0.6,0.2206713619198468,0.6,5,NA,NA,NA,NA,NA,2
Periparus ater,stable,stable,0.003294398095393764,0.5925,0.4075,0.4,0.4624327264504763,0.6,2,Forest,1,1,Omnivore,Insessorial,1
Phylloscopus magnirostris,stable,stable,-0.005233232540159587,0.34,0.66,-0.2,0.8064959405073402,1,2,Forest,1,3,Carnivore,Insessorial,3
Tarsiger cyanurus,stable,stable,0.016752107628566472,0.9325,0.0675,0.8,0.08641073297370003,0.6999999999999997,2,Forest,1,3,Carnivore,Generalist,3
Cuculus sparverioides,stable,stable,-0.007653398213502595,0.2075,0.7925,-0.8,0.08641073297370003,0.8,5,NA,NA,NA,NA,NA,2
Cyanoderma ruficeps,expanding,strong_expanding,0.0316504375868587,0.9975,0.0025,1,0.02748633611151034,0.6,2,Shrubland,1,1,Carnivore,Insessorial,1
Eurystomus orientalis,stable,stable,0.013056777411339591,0.87,0.13,1,0.02748633611151034,1,5,Woodland,2,3,Carnivore,Aerial,3
Anas carolinensis,expanding,strong_expanding,0.05740827671828183,1,0,0.8,0.08641073297370003,0.6,8,Wetland,3,2,Omnivore,Aquatic,2
Acrocephalus bistrigiceps,expanding,strong_expanding,0.05484156989550274,1,0,1,0.02748633611151034,1,8,Wetland,3,3,Carnivore,Insessorial,3
Centropus sinensis,expanding,strong_expanding,0.019643946581267852,1,0,1,0.02748633611151034,0.1333333333333333,5,Woodland,2,1,Carnivore,Terrestrial,1
Buteo hemilasius,stable,stable,0.008856138340933694,0.775,0.225,0,1,0.6999999999999997,8,Grassland,3,1,Carnivore,Generalist,1
Pycnonotus aurigaster,expanding,strong_expanding,0.017081953978515356,1,0,1,0.02748633611151034,0.16,5,Shrubland,2,1,Herbivore,Insessorial,1
Fringilla montifringilla,expanding,strong_expanding,0.06664073944516005,1,0,1,0.02748633611151034,0.19999999999999993,2,Forest,1,3,Herbivore,Generalist,3
Phylloscopus humei,stable,stable,0.012724471795158418,0.9125,0.0875,1,0.02748633611151034,1,2,Forest,1,3,Carnivore,Insessorial,3
Apus pacificus,stable,stable,0.005071972758286426,0.6575,0.3425,0.4,0.4624327264504763,1,2,Woodland,1,2,Carnivore,Aerial,2
Emberiza godlewskii,stable,stable,-7.572293084729202e-4,0.4925,0.5075,-0.4,0.4624327264504763,0.49999999999999983,5,Shrubland,2,2,Omnivore,Terrestrial,2
Tringa erythropus,expanding,strong_expanding,0.054512233600106645,0.9975,0.0025,1,0.02748633611151034,0.6999999999999997,8,Grassland,3,3,Carnivore,Terrestrial,3
Enicurus leschenaulti,expanding,expanding,0.01734104751654326,0.975,0.025,0.8,0.08641073297370003,1,8,Riverine,3,1,Carnivore,Terrestrial,1
Phylloscopus borealis,stable,stable,-0.007651530109962065,0.2875,0.7125,0,1,1,2,Forest,1,3,Carnivore,Insessorial,3
Cuculus poliocephalus,stable,stable,4.49082623357341e-4,0.535,0.465,0.2,0.8064959405073402,1,2,Forest,1,3,Carnivore,Insessorial,3
Phylloscopus coronatus,stable,stable,-0.008819149295632728,0.3075,0.6925,-0.8,0.08641073297370003,1,5,Woodland,2,3,Carnivore,Insessorial,3
Phylloscopus trochiloides,stable,stable,0.0056422526743541155,0.8025,0.1975,0.8,0.08641073297370003,0.6999999999999997,2,Forest,1,3,Carnivore,Insessorial,3
Pericrocotus solaris,expanding,strong_expanding,0.024588313585132315,1,0,1,0.02748633611151034,1,5,Forest,2,1,Carnivore,Insessorial,1
