period,grid_cell,CTI
P1,1833,9.34510688452215
P1,1834,9.298057625677682
P1,1835,9.252072174959448
P1,1836,9.20792731053843
P1,1837,9.166405328950855
P1,1838,9.12826315120108
P1,1839,9.094201590397057
P1,1840,9.064822490944026
P1,1841,9.040583886302931
P1,1842,9.0217713559113335
P1,1843,9.008490114049227
P1,1844,9.000668159938883
P1,1845,8.998061569785586
P1,1846,9.00026654147033
P1,1847,9.006750223279818
P1,1848,9.016902868287579
P1,1849,9.030100226153847
P1,1850,9.045760946869155
P1,1851,9.067074573971842
P1,1852,9.079641083938673
P1,1853,9.14072113129425
P1,1854,9.145458562634182
P1,1855,9.180252713982853
P1,1856,9.200493290357073
P1,1875,10.32793923496184
P1,1876,10.316650310852015
P1,1877,10.298634827278494
P1,1878,10.279142434096439
P1,1879,10.258862398644242
P1,1880,10.237785390702536
P1,1881,10.215902240731777
P1,1882,10.19320332676516
P1,1884,10.145313217074666
P1,1892,9.917394012005445
P1,1895,9.814107948410442
P1,1896,9.777076918604976
P1,1897,9.738661011543822
P1,1899,9.657591656893214
P1,1900,9.614972101920413
P1,1901,9.571059144763275
P1,1902,9.526007851111613
P1,1903,9.480070560496443
P1,1904,9.433624317185567
P1,1905,9.387185360358998
P1,1906,9.34139744903422
P1,1907,9.296992765864921
P1,1908,9.254741847947523
P1,1909,9.215414386298878
P1,1910,9.179754382781905
P1,1911,9.148451699359653
P1,1912,9.122097676402916
P1,1913,9.101133591828907
P1,1914,9.085806926316854
P1,1916,9.071933830918093
P1,1917,9.072756389497915
P1,1918,9.078020846846092
P1,1919,9.087050395596501
P1,1920,9.099166992465078
P1,1921,9.113761645610689
P1,1922,9.13033679330026
P1,1923,9.148520493345481
P1,1924,9.17550124338337
P1,1925,9.196134783265922
P1,1926,9.21061954743575
P1,1927,9.225736564900226
P1,1928,9.242226579170572
P1,1950,10.320641975544264
P1,1951,10.30086163111927
P1,1952,10.280249535504474
P1,1953,10.258794287200601
P1,1967,9.8593345375565
P1,1968,9.822297044826856
P1,1969,9.783881623381218
P1,1970,9.744081135220865
P1,1971,9.70292443225352
P1,1972,9.660487801401123
P1,1973,9.6169078856329
P1,1974,9.572397479140442
P1,1975,9.527264445497753
P1,1976,9.481929393714305
P1,1977,9.436931828311643
P1,1978,9.3929144002132
P1,1979,9.350586648429049
P1,1980,9.310686461075655
P1,1981,9.273957718425319
P1,1982,9.241136957185603
P1,1983,9.212921121287529
P1,1984,9.189902944682746
P1,1985,9.172489813996565
P1,1986,9.160834177746263
P1,1987,9.15479907909466
P1,1988,9.153973934719838
P1,1989,9.157743478818052
P1,1990,9.16539269398586
P1,1991,9.176214486457983
P1,1992,9.189589744569037
P1,1993,9.205027296915677
P1,1994,9.22216856559048
P1,1995,9.24076881822032
P1,1996,9.260665725091902
P1,1997,9.278862550123849
P1,1998,9.284866974407112
P1,2024,10.325918913723168
P1,2027,10.260553983198003
P1,2028,10.236955233539245
P1,2039,9.91006756189793
P1,2040,9.873224207030232
P1,2041,9.835032694879677
P1,2044,9.712820036645514
P1,2045,9.66996598072314
P1,2046,9.6264448142771
P1,2047,9.582615645663779
P1,2048,9.538929355871616
P1,2049,9.495925420358493
P1,2050,9.454214798407596
P1,2051,9.414454962926714
P1,2052,9.377335401484359
P1,2053,9.343580008791173
P1,2054,9.313937616498988
P1,2055,9.289121720771277
P1,2056,9.26969961586758
P1,2057,9.25597561790944
P1,2058,9.24792100974518
P1,2059,9.245180991409626
P1,2060,9.247157322855907
P1,2061,9.25313558349384
P1,2062,9.262410476043632
P1,2063,9.274371848810143
P1,2064,9.288539678935726
P1,2065,9.304558442635678
P1,2066,9.322168980228904
P1,2067,9.341172467568871
P1,2068,9.361275607401181
P1,2069,9.357837955069916
P1,2111,9.967270893075895
P1,2112,9.93087453589041
P1,2113,9.893189606809809
P1,2114,9.854274358877158
P1,2116,9.77328130772466
P1,2117,9.731640928778514
P1,2118,9.689650078981135
P1,2119,9.647704107524225
P1,2120,9.606259903079964
P1,2121,9.565825869020053
P1,2122,9.526950270636098
P1,2123,9.490219324578016
P1,2124,9.456276792705264
P1,2125,9.425845214621582
P1,2126,9.399693060196196
P1,2127,9.378516697884647
P1,2128,9.362780672137562
P1,2129,9.352600781221017
P1,2130,9.347727764898337
P1,2131,9.347632241820035
P1,2132,9.351645684121605
P1,2133,9.359096941980102
P1,2134,9.369400620561125
P1,2135,9.38208653339477
P1,2136,9.396785802602043
P1,2137,9.413197412660796
P1,2138,9.431053525542197
P1,2139,9.450092923623217
P1,2140,9.470219475781871
P1,2171,10.368119453166353
P1,2182,10.066384994081064
P1,2183,10.031988027981798
P1,2184,9.99634819124312
P1,2186,9.921606125709179
P1,2187,9.88278381706919
P1,2188,9.843294291504996
P1,2189,9.803447078843721
P1,2191,9.72418099921408
P1,2193,9.64830222394722
P1,2194,9.612755745827485
P1,2195,9.579469600006494
P1,2196,9.54905579043171
P1,2197,9.522241754456099
P1,2198,9.499781838293275
P1,2199,9.48227881226701
P1,2200,9.470016545777677
P1,2201,9.462900641224202
P1,2202,9.460525214508655
P1,2203,9.462312753997487
P1,2204,9.467653568618475
P1,2205,9.47599457483928
P1,2206,9.486866422101738
P1,2207,9.499867656061811
P1,2208,9.514633578920145
P1,2209,9.530810482827928
P1,2210,9.548044150351032
P1,2211,9.565982491030994
P1,2212,9.584287722402934
P1,2213,9.608836295387118
P1,2214,9.65518600949542
P1,2240,10.486417096958592
P1,2241,10.469227220080048
P1,2250,10.260112207367973
P1,2254,10.13862571872202
P1,2255,10.105258034603619
P1,2257,10.035197137592673
P1,2258,9.998775295426832
P1,2259,9.961716928907029
P1,2260,9.924320979154832
P1,2261,9.88693565314393
P1,2262,9.849936702492588
P1,2263,9.813703505372692
P1,2264,9.778600358623487
P1,2265,9.744974371218584
P1,2266,9.71318578481763
P1,2267,9.683675730831633
P1,2268,9.657030885773068
P1,2269,9.633960055721765
P1,2270,9.615142252710712
P1,2271,9.601025208604476
P1,2272,9.591705280819653
P1,2273,9.586947202599147
P1,2274,9.586301096970253
P1,2275,9.589235403330132
P1,2276,9.595227318293526
P1,2277,9.603795738142663
P1,2278,9.614494262935859
P1,2279,9.626892071568736
P1,2280,9.640563083312712
P1,2281,9.655090525264798
P1,2282,9.670083658673116
P1,2283,9.685198763529234
P1,2284,9.700156534933967
P1,2285,9.714750719645272
