species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland
Copsychus saularis,expanding,0.011313461540772361,10.935558828307366,0.6147942942352872,0.9315036704582352,0.3028216353183475,7.713784091398156,0.13203511294615136,3.618812671152052e-4,0.0020900382868909674
Ardea cinerea,expanding,0.061641227908808105,334.83451898619376,36.647285083816456,23.807194623075905,14.50219300090329,883.5256023428087,4.780946678338127,0.011698010325491656,0.05745803034896165
Anas platyrhynchos,expanding,0.048700433408592744,339.64233808930516,37.44343017873275,24.22191100260194,14.837781354986607,911.6310132682192,4.8266565654490226,0.011695311605048317,0.056574382828859036
Lanius schach,expanding,0.02743045629833114,63.88209221974803,5.2137573978121825,3.829773716169359,2.3338029490963157,95.78438995180207,0.6471384073601614,0.0015922720722973056,0.004987504460072051
Spodiopsar cineraceus,expanding,0.062246361645840444,307.2375111102647,34.14550291410618,21.214426549987934,13.30734952261029,790.7236831982091,4.326514893078458,0.010417493574261664,0.054255010775676876
Alcedo atthis,expanding,0.017104781127878815,259.17777107089296,31.604093949344918,17.104186213510314,12.25719966106329,752.7361184054338,3.93700478133812,0.009784782360592518,0.055969940555725455
Anas zonorhyncha,expanding,0.04128827368339198,319.8592590094632,35.80429739852756,21.361973388661045,14.01519347612212,830.20998236903,4.5227901650499165,0.010409684547825778,0.058469450807844305
Phasianus colchicus,expanding,0.04966357686285207,357.56539730355956,37.844807072745155,25.500269981005268,14.985263567310842,893.3950155337947,4.9695467340625505,0.011860140077712241,0.05819234722129653
Zosterops simplex,expanding,0.010522813000489628,105.96438748726801,7.176387335847822,5.797066308268185,3.4580072144221377,136.39200238413625,1.0251312498283087,0.002452952778600474,0.00780496517460534
Cuculus canorus,expanding,0.036902456918044176,315.51494221377345,34.738822331160556,22.431942738203386,13.731958791430618,838.3845216499075,4.4880415167956285,0.010907678494418612,0.05235641847526936
Corvus macrorhynchos,stable,0.025719691847330556,231.1590257800035,25.141179525861023,14.962149868830311,10.073370111647202,568.2245603521111,3.211202394152195,0.0065940882810456595,0.038933368841923326
Upupa epops,expanding,0.037186669342119893,317.70886757992605,34.97189051198336,22.41602563779061,13.797229950161409,838.3670032355965,4.471457845706671,0.010633756438756636,0.05204875428966173
Dendrocopos major,stable,0.011871938926782968,337.60389713103007,36.08243532646274,22.1883816754917,14.050787168396717,728.5373464016021,4.836417484626045,0.011590962272229045,0.06163853295978325
Spodiopsar sericeus,expanding,0.03886431666359539,102.0502177373165,7.641920836654056,5.886351577062413,3.334148614973807,110.9802263410198,1.032254897539931,0.0026409251465055214,0.006374624028919689
Dicrurus macrocercus,stable,-0.00562915857017461,109.70811273530678,6.900077451706273,6.25454735738659,3.2285290111858354,101.03769926235725,1.199228511225546,0.0036785041245944307,0.007547828054417841
Spizixos semitorques,expanding,0.029018952097261578,48.19230233902939,4.988420086494908,2.4253526676004595,1.9764482483471482,76.05775556361276,0.5989259998802892,8.989712040849101e-4,0.004297703825553914
Phoenicurus auroreus,stable,0.004728220945161741,221.86970176444896,22.902881584720898,14.79356738790541,9.032871517426278,487.8124946298223,3.028305053508954,0.0073879508417601936,0.03673099959499655
Ardea alba,expanding,0.028735846643482735,355.8489598351409,38.60863775521422,25.600515872281594,15.436409186236773,963.6555213997162,5.125178924683439,0.01275065318747875,0.06096537899715348
Himantopus himantopus,expanding,0.07544087740969901,384.1291231934668,42.96728691796428,27.60794974722698,17.012748036509404,1075.1967564702243,5.312855244576511,0.011953476208784525,0.0643322875170371
Urocissa erythroryncha,expanding,0.04492261030232061,131.69549216871178,9.33685876306051,6.998398055945937,4.355300732252704,188.50741259431376,1.382110822306857,0.0035666694359334427,0.010433947129127787
Aegithalos concinnus,expanding,0.010445570980213634,9.166366839448408,1.1858753318646906,0.3782749827967809,0.49887997894860536,28.413235931447716,0.10309866657789495,1.6159625221636952e-4,8.284781252123469e-4
Lanius cristatus,stable,0.003929090874414779,286.94238029104025,31.509210964278164,19.859240905360135,12.31539156847501,719.4206565894624,4.123384724499498,0.010107917949587883,0.05317187392417608
Fulica atra,expanding,0.10823427540250338,322.10399298364626,36.253037362025196,22.6645469457702,14.366927264945483,881.2171818969595,4.512124996863258,0.01037250437224345,0.05568935024215588
Horornis fortipes,expanding,0.01682565972092447,19.260663351200243,2.281338607485912,0.8350384667981096,0.9562600259449441,43.94403034181442,0.238966815454003,5.020548932558275e-4,0.0022773040154475863
Eophona migratoria,stable,0.014224615442248801,219.93112960141505,23.774955314595935,11.962611584875418,9.540859455997337,530.7569858313155,2.867366231462709,0.005812028297530612,0.028944848394401968
Podiceps cristatus,expanding,0.06262411686854213,354.7073995020466,38.94124972569883,24.8827506483666,15.423742797489691,942.7554714125471,4.973487671196573,0.011431593739751241,0.05922975242357925
Picus canus,stable,0.002619582478139875,289.2385076109402,33.52111430951998,18.99398973333094,13.070973633799753,741.7311988532923,4.019065953066996,0.009082944528182193,0.048813003197507095
Phylloscopus inornatus,expanding,0.029946293109388303,225.10610726360412,27.194258898845547,14.32956698687664,10.590525703843788,675.8104329456736,3.3403723518627144,0.008458402645501416,0.04539958664000398
Pterorhinus sannio,expanding,0.03979843490414222,17.51184549301192,1.4547905658573308,0.9423757538168087,0.601046472756657,19.94030731290764,0.1730858775257436,3.2210602188574046e-4,0.001067986109094895
Motacilla cinerea,stable,0.018954340674876835,277.6770576167273,32.957745595000105,19.093839185118537,12.9625525489152,833.1175921387893,4.123697219708481,0.010127304156721846,0.05089458195739767
Sterna hirundo,expanding,0.04677174989918046,371.9169637108573,41.33595815303988,26.995320589742335,16.23494566200421,966.6789190359128,5.307339573076504,0.012377386261829293,0.0637273730106487
Falco tinnunculus,expanding,0.04156445399901182,311.1343867382667,34.367301635279155,22.21821537591895,13.612700787067231,840.4191562871815,4.413890000448574,0.010679228260961434,0.051450377404277145
