variable,importance,draw,group
centroid_lat,0.027836817140248805,214,baseline
delta_t_mean,0.020118835014654182,304,climate_change
delta_t_extreme,0.037509916749317064,304,climate_change
delta_forest,0.01225418994633603,304,landuse_change
delta_impervious,0.03181639833600013,304,landuse_change
delta_natural,0.01720583017828165,304,landuse_change
delta_hfi,0.017921146075031612,304,human_change
bio11,0.027985472869173137,304,baseline
elev_mean,0.04207251595058345,304,baseline
centroid_lon,0.14245405035613704,304,baseline
centroid_lat,0.026935545708773503,304,baseline
delta_t_mean,0.008988373304201172,338,climate_change
delta_t_extreme,0.017972408683822202,338,climate_change
delta_forest,0.0083484731902373,338,landuse_change
delta_impervious,0.017398728834798604,338,landuse_change
delta_natural,0.007356960070574848,338,landuse_change
delta_hfi,0.007752220241349756,338,human_change
bio11,0.018318427792035314,338,baseline
elev_mean,0.02170298972971632,338,baseline
centroid_lon,0.07236097892778559,338,baseline
centroid_lat,0.012341381200093945,338,baseline
delta_t_mean,0.011447099474784186,81,climate_change
delta_t_extreme,0.022482623075628375,81,climate_change
delta_forest,0.007559499665977481,81,landuse_change
delta_impervious,0.01792578125424021,81,landuse_change
delta_natural,0.009205673403340012,81,landuse_change
delta_hfi,0.00821607572634525,81,human_change
bio11,0.04119567328185256,81,baseline
elev_mean,0.031031034535754037,81,baseline
centroid_lon,0.0732407830843493,81,baseline
centroid_lat,0.021749891732214154,81,baseline
delta_t_mean,0.01553798999113375,232,climate_change
delta_t_extreme,0.03699830382437293,232,climate_change
delta_forest,0.012954934632579714,232,landuse_change
delta_impervious,0.02942425817935844,232,landuse_change
delta_natural,0.013049956377833372,232,landuse_change
delta_hfi,0.011224581358564705,232,human_change
bio11,0.036174851150048655,232,baseline
elev_mean,0.02497484852486224,232,baseline
centroid_lon,0.121628054901187,232,baseline
centroid_lat,0.03358703819840725,232,baseline
delta_t_mean,0.016831558741199893,153,climate_change
delta_t_extreme,0.03343213470211103,153,climate_change
delta_forest,0.014890897059854932,153,landuse_change
delta_impervious,0.03989074966736024,153,landuse_change
delta_natural,0.014695758541898758,153,landuse_change
delta_hfi,0.01785507885917679,153,human_change
bio11,0.033335815083269625,153,baseline
elev_mean,0.07341550870580645,153,baseline
centroid_lon,0.14751937679818392,153,baseline
centroid_lat,0.03274407714433642,153,baseline
delta_t_mean,0.021727056400982284,38,climate_change
delta_t_extreme,0.04574514646008599,38,climate_change
delta_forest,0.011616183753014358,38,landuse_change
delta_impervious,0.025652944548345886,38,landuse_change
delta_natural,0.012873087520765662,38,landuse_change
delta_hfi,0.012081017561470902,38,human_change
bio11,0.05304169808780992,38,baseline
elev_mean,0.02087029261020277,38,baseline
centroid_lon,0.14829427671470036,38,baseline
centroid_lat,0.03568467160760898,38,baseline
delta_t_mean,0.01953011017967993,242,climate_change
delta_t_extreme,0.038068002731214606,242,climate_change
delta_forest,0.01405956209604143,242,landuse_change
delta_impervious,0.03318082086579364,242,landuse_change
delta_natural,0.013538671292115624,242,landuse_change
delta_hfi,0.01585441985367478,242,human_change
bio11,0.03298235221083685,242,baseline
elev_mean,0.030569159814076267,242,baseline
centroid_lon,0.1585369944719651,242,baseline
centroid_lat,0.026214715978947836,242,baseline
delta_t_mean,0.011841488098163124,260,climate_change
delta_t_extreme,0.023679717314781194,260,climate_change
delta_forest,0.006015237591397501,260,landuse_change
delta_impervious,0.011638713118684056,260,landuse_change
delta_natural,0.006577887533122567,260,landuse_change
delta_hfi,0.007014031013909045,260,human_change
bio11,0.03509020750819387,260,baseline
elev_mean,0.01572207817276667,260,baseline
centroid_lon,0.08038443236719049,260,baseline
centroid_lat,0.01755954985943937,260,baseline
delta_t_mean,0.016821465396020124,241,climate_change
delta_t_extreme,0.03459545418234351,241,climate_change
delta_forest,0.009860251955172544,241,landuse_change
delta_impervious,0.02596453594653172,241,landuse_change
delta_natural,0.010808180399824743,241,landuse_change
delta_hfi,0.012869870344914859,241,human_change
bio11,0.025797366814183816,241,baseline
elev_mean,0.035475041515027644,241,baseline
centroid_lon,0.1399445615127947,241,baseline
centroid_lat,0.029385569116646453,241,baseline
delta_t_mean,0.014930842795708488,5,climate_change
delta_t_extreme,0.02872501331481777,5,climate_change
delta_forest,0.010289459101699627,5,landuse_change
delta_impervious,0.02187077179909324,5,landuse_change
delta_natural,0.011233231867393825,5,landuse_change
delta_hfi,0.011544673984207759,5,human_change
bio11,0.029968984301808926,5,baseline
elev_mean,0.029459658242297786,5,baseline
centroid_lon,0.11129885304091923,5,baseline
centroid_lat,0.028795075647755616,5,baseline
delta_t_mean,0.014373617316134112,372,climate_change
delta_t_extreme,0.028325332047659406,372,climate_change
delta_forest,0.010502057276131415,372,landuse_change
delta_impervious,0.025518718242894613,372,landuse_change
delta_natural,0.011650541714642196,372,landuse_change
delta_hfi,0.012571535737591594,372,human_change
bio11,0.03283531800774012,372,baseline
elev_mean,0.0309255863751426,372,baseline
centroid_lon,0.09731108266966994,372,baseline
centroid_lat,0.023519010505903035,372,baseline
delta_t_mean,0.015667375988597885,336,climate_change
delta_t_extreme,0.025816511297159585,336,climate_change
delta_forest,0.009895731978749194,336,landuse_change
delta_impervious,0.027697017715121904,336,landuse_change
delta_natural,0.012430544775978089,336,landuse_change
delta_hfi,0.012043788175773756,336,human_change
bio11,0.0279776728186487,336,baseline
elev_mean,0.03180597842110394,336,baseline
centroid_lon,0.07872833070437969,336,baseline
centroid_lat,0.019789874372322467,336,baseline
delta_t_mean,0.012896740961064,41,climate_change
delta_t_extreme,0.030137923404773413,41,climate_change
delta_forest,0.009864370776376322,41,landuse_change
delta_impervious,0.020409985373980147,41,landuse_change
delta_natural,0.009460984983671077,41,landuse_change
delta_hfi,0.009202387023267939,41,human_change
bio11,0.029779898889416394,41,baseline
elev_mean,0.015766485748798124,41,baseline
centroid_lon,0.13012516097829188,41,baseline
centroid_lat,0.026713836288260743,41,baseline
delta_t_mean,0.01580270889132755,182,climate_change
delta_t_extreme,0.028894011626324927,182,climate_change
