species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Podiceps nigricollis,theil_sen,0.031228800281801423,0.016991037726983963,-6.331627086860838e-4,0.019569109463131944,0.030984610647673043,0.042488468070360504,0.0641884565904983,0.9725,0.0275,expanding,expanding,8,0.8,0.08641073297370003
Turdus obscurus,theil_sen,0.03013009891059594,0.01751734958445091,-0.002134039005799543,0.019238694493897535,0.030611115471671804,0.04200474068353929,0.06324828400951246,0.9525,0.0475,expanding,expanding,10,1,0.02748633611151034
Circus cyaneus,theil_sen,0.06027708718418482,0.01780077282567097,0.02559749741267916,0.048740240230405296,0.060924159804130004,0.07241144879390757,0.09110999117322072,0.995,0.005,expanding,strong_expanding,8,0.8,0.08641073297370003
Turdus naumanni,theil_sen,0.036104863251144856,0.011589074861713304,0.012952513482066354,0.028473253488900042,0.03653400126183412,0.04482535400003579,0.05557071691630478,0.995,0.005,expanding,strong_expanding,10,1,0.02748633611151034
Anthus rubescens,theil_sen,0.03752968256345493,0.013944579403001894,0.010774353067765427,0.027795593668749456,0.037351269794896,0.04759563282508712,0.06488261700738192,0.9925,0.0075,expanding,strong_expanding,10,1,0.02748633611151034
Regulus regulus,theil_sen,-0.022744185165300537,0.016130436721949422,-0.052561579442851246,-0.033011577806905876,-0.022107446837879675,-0.012372481762238593,0.0105654223698939,0.0775,0.9225,stable,stable,-10,-1,0.02748633611151034
Corvus frugilegus,theil_sen,0.04167670147507879,0.016084264880521858,0.011217262933510925,0.03071172433234807,0.042732243333586425,0.05262455805993499,0.07068227054785084,0.995,0.005,expanding,strong_expanding,10,1,0.02748633611151034
Anthus cervinus,theil_sen,0.010475078240476828,0.01696491749062819,-0.0231679376986686,-5.12402423003204e-4,0.011012686778819596,0.020728017600211444,0.041202975283259655,0.7375,0.2625,stable,stable,4,0.4,0.4624327264504763
Spinus spinus,theil_sen,0.028823456180393232,0.011942187997185015,0.006078310750419551,0.021046394627050692,0.029839903682636403,0.0367504673693191,0.05065119457390763,0.985,0.015,expanding,expanding,8,0.8,0.08641073297370003
Trochalopteron affine,theil_sen,-0.01518893395164429,0.008184172537894507,-0.03162288698896027,-0.020326555958915114,-0.014464244939021976,-0.009448419568476498,-1.516138156103642e-4,0.025,0.975,contracting,contracting,-8,-0.8,0.08641073297370003
