species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Hydroprogne caspia,theil_sen,0.033762113339544424,0.011136249406294265,0.0128821648232355,0.026058065327649944,0.03390675954501548,0.04102257483066778,0.054542706900017404,0.9975,0.0025
Coracias garrulus,theil_sen,0.005369234626731812,0.0037486252265472907,-0.0023958498093269286,0.002942266967125735,0.005440487434653487,0.007949785888850924,0.01216593914941271,0.9175,0.0825
Larus vegae,theil_sen,0.06323101414074662,0.01569086909235943,0.02887844736601783,0.05501042754069112,0.06444237520032603,0.07252464479306983,0.09027671792180286,0.995,0.005
Cyanistes cyanus,theil_sen,0.009037245700192462,0.0056098590604342705,-0.0029680112552341086,0.005658989318759536,0.00915400987207278,0.012968789475052592,0.01908749379853869,0.9375,0.0625
Carpodacus pulcherrimus,theil_sen,-0.007520743643557205,0.0075705134178954735,-0.022520715726302994,-0.012915331926667587,-0.007258783301494579,-0.002357632661665757,0.006525274803292156,0.1575,0.8425
Seicercus castaniceps,theil_sen,-0.0031589627764709288,0.011135135179061641,-0.024938026484173,-0.009273048529477865,-0.002432263891799291,0.004236633992699263,0.01736860067563399,0.395,0.605
Cinclus cinclus,theil_sen,-0.0015675178952344615,0.005092094131497997,-0.01149890251902418,-0.004943236630558434,-0.0014526483127783422,0.001923266573035761,0.007698772702670201,0.3925,0.6075
Ithaginis cruentus,theil_sen,-0.012692046047827612,0.007948620513674226,-0.02914114082293417,-0.01771848205620808,-0.012259058648856312,-0.00713864409289896,0.0012753048671306905,0.04,0.96
Poecile weigoldicus,theil_sen,-0.013777922697045378,0.00914446042844549,-0.03312689949105187,-0.019497841058885627,-0.01367484625876973,-0.008151572139998849,0.0036582965295963686,0.065,0.935
Ictinaetus malaiensis,theil_sen,0.028811806328986608,0.009115562621974334,0.008982896291230051,0.023306482161710936,0.029997542023504305,0.03498939136975239,0.04351606475066177,0.995,0.005
Haematopus ostralegus,theil_sen,0.018264501213105775,0.010543022228051148,-0.0024716266578535756,0.011198434960859104,0.018204281603903374,0.025682333081308642,0.03803408467189854,0.965,0.035
Coturnix japonica,theil_sen,0.03713995974619092,0.011170791384048629,0.013039112241204688,0.03091001886955422,0.0378614219468134,0.04425958935780854,0.05782942565081234,1,0
Prunella rubeculoides,theil_sen,-0.002292825112374365,0.004822605528334026,-0.012755906088614166,-0.005091759263936634,-0.00207372940269805,7.431017557761451e-4,0.006989379474386678,0.3125,0.6875
Ficedula mugimaki,theil_sen,0.006590427464751205,0.014637872998864652,-0.021747585435442328,-0.0034337130095933744,0.0064746876426748515,0.01681961449392465,0.03398454810487889,0.655,0.345
Lanius isabellinus,theil_sen,0.006892791677889979,0.0066975356482724775,-0.006261576906091497,0.0025859873736326904,0.006716586403971862,0.011531254195702237,0.020267174682232384,0.85,0.15
Turdus viscivorus,theil_sen,0.006562043841865157,0.004306967656285485,-0.002089290894136715,0.0035931713396179427,0.006609154824905086,0.010084383175134042,0.014143618511748626,0.9375,0.0625
Corvus dauuricus,theil_sen,0.07549429650812578,0.02143446441254549,0.026154481763344194,0.06326251110528505,0.07822942473743456,0.08933461198268822,0.11161141976407202,0.9975,0.0025
Phylloscopus kansuensis,theil_sen,0.0036491635230245113,0.00819004898555376,-0.012097463698865456,-0.001646732036138875,0.004193503993182288,0.008984726325261167,0.02021220268779241,0.685,0.315
Pyrrhocorax graculus,theil_sen,0.007885250097618784,0.006304398078023439,-0.004166325902701543,0.003471141699475608,0.007741194317680309,0.012345268254041213,0.020126193179483054,0.9025,0.0975
