mean,sd,q025,median,q975,metric,method,grid_cell,hfi_change_q
4.015926362009626,0.3586102725139115,3.3446144885097104,4.012847915757452,4.7542000081769364,corrected_richness,ols,856,Q1 (low ΔHFI)
4.4149141959797085,0.35337666163782794,3.743735047065808,4.381263996935906,5.125565360509762,corrected_richness,ols,857,Q3
5.50830114259683,0.37393033176299073,4.82040284722271,5.515386060341227,6.215797149483642,corrected_richness,ols,858,Q1 (low ΔHFI)
5.075857898881305,0.38920889860845,4.353238936719917,5.059857284940601,5.929318151792726,corrected_richness,ols,859,Q1 (low ΔHFI)
5.011411132282786,0.3596449908702388,4.292331685560989,4.997351649831664,5.742124667431958,corrected_richness,ols,860,Q1 (low ΔHFI)
4.47853057228943,0.29983824016487653,3.9387995738690034,4.474172436978671,5.09014760565579,corrected_richness,ols,876,Q3
4.873994616418424,0.27794470943804833,4.349358198915427,4.868079321409985,5.395790072158152,corrected_richness,ols,877,Q3
4.970015149677763,0.2838364776452132,4.409512850006297,4.974945418180372,5.537086601998349,corrected_richness,ols,878,Q2
5.0648522437868015,0.2859207136684613,4.502835325025867,5.058570153772467,5.612689976579384,corrected_richness,ols,879,Q2
5.301615450415538,0.28375577034833427,4.690094982572597,5.309547402878817,5.8566778975218305,corrected_richness,ols,881,Q1 (low ΔHFI)
5.532602242720542,0.29634704416650326,4.947657550601347,5.549703113209983,6.110174641864954,corrected_richness,ols,882,Q1 (low ΔHFI)
5.453523530646736,0.31436524669321547,4.863645863084144,5.432102702581496,6.101751144506943,corrected_richness,ols,883,Q1 (low ΔHFI)
5.720545055028984,0.2995949739948291,5.109420380602483,5.725726987825891,6.370772261324596,corrected_richness,ols,884,Q2
5.567860755176661,0.33360097331477484,4.9413393744634115,5.57338429278448,6.225481546676684,corrected_richness,ols,885,Q1 (low ΔHFI)
6.875583013702911,0.3961860942366504,6.130025713483476,6.882307212216898,7.67036970627013,corrected_richness,ols,916,Q1 (low ΔHFI)
6.840398126254765,0.39868632966279266,6.0949233027695335,6.858858188897562,7.627809867962915,corrected_richness,ols,917,Q1 (low ΔHFI)
6.4064276045372734,0.3737411453287872,5.705488884024889,6.396497866032524,7.102295514165178,corrected_richness,ols,918,Q1 (low ΔHFI)
6.162351495936474,0.3403791839183221,5.577434741689549,6.157118582405199,6.833486696939309,corrected_richness,ols,920,Q3
5.510429205518239,0.38253199985136654,4.798978708122034,5.525066316238858,6.333501071446995,corrected_richness,ols,921,Q2
5.29518860948914,0.4424406085774112,4.476353733381662,5.300888926526641,6.164328090671005,corrected_richness,ols,922,Q2
5.471767718405825,0.38696662444332,4.7513112900827075,5.464342251941411,6.253846352695941,corrected_richness,ols,923,Q4 (high ΔHFI)
4.78906786145297,0.3227190438753126,4.087751798072929,4.799700876715406,5.455719333240334,corrected_richness,ols,927,Q1 (low ΔHFI)
4.648831943309198,0.34895008058780297,3.979942815961301,4.638816886522348,5.333975977712251,corrected_richness,ols,929,Q1 (low ΔHFI)
