parameter,group,rhat,ess
beta.comm[412],beta.comm,1,97.80028513433535
beta.comm[413],beta.comm,1,114.87300776212605
beta.comm[414],beta.comm,1,89.77375443609375
beta.comm[415],beta.comm,1,113.62317149648457
beta.comm[416],beta.comm,1,77.34506313375736
beta.comm[417],beta.comm,1,77.38575773664417
beta.comm[418],beta.comm,1,81.18310783545999
beta.comm[419],beta.comm,1,59.999999999999986
beta.comm[420],beta.comm,1,75.67647477014765
beta.comm[421],beta.comm,1,75.0898178228355
beta.comm[422],beta.comm,1,80.92321397758755
beta.comm[423],beta.comm,1,93.8313444906114
beta.comm[424],beta.comm,1,77.85760664002274
beta.comm[425],beta.comm,1,92.37217225701438
beta.comm[426],beta.comm,1,75.40995022527932
beta.comm[427],beta.comm,1,109.32396891460688
beta.comm[428],beta.comm,1,92.16806220601796
beta.comm[429],beta.comm,1,75.53692619510862
beta.comm[430],beta.comm,1,77.35503966538344
beta.comm[431],beta.comm,1,93.43406209680089
beta.comm[432],beta.comm,1,74.67540803954763
beta.comm[433],beta.comm,1,90.55716484209063
beta.comm[434],beta.comm,1,98.13190079163206
beta.comm[435],beta.comm,1,91.72061165112164
beta.comm[436],beta.comm,1,90.64606319693874
beta.comm[437],beta.comm,1,110.87226256879745
beta.comm[438],beta.comm,1,108.56123600104911
beta.comm[439],beta.comm,1,90.15442490849168
beta.comm[440],beta.comm,1,92.18137054510436
beta.comm[441],beta.comm,1,114.00658537922143
beta.comm[442],beta.comm,1,74.99034770557307
beta.comm[443],beta.comm,1,111.51205151175219
beta.comm[444],beta.comm,1,90.02643684425462
beta.comm[445],beta.comm,1,105.59554271737755
beta.comm[446],beta.comm,1,60
beta.comm[447],beta.comm,1,108.22540900419061
beta.comm[448],beta.comm,1,79.87470283237634
beta.comm[449],beta.comm,1,108.73477700364711
beta.comm[450],beta.comm,1,81.51744277124573
beta.comm[451],beta.comm,1,91.91870145678132
beta.comm[452],beta.comm,1,78.47558414705111
beta.comm[453],beta.comm,1,94.75080159082205
beta.comm[454],beta.comm,1,60
beta.comm[455],beta.comm,1,114.0935629650772
beta.comm[456],beta.comm,1,104.35990373854804
beta.comm[457],beta.comm,1,94.02342152905572
beta.comm[458],beta.comm,1,93.18793516002118
beta.comm[459],beta.comm,1,110.53959339055602
beta.comm[460],beta.comm,1,75.52525694929642
beta.comm[461],beta.comm,1,97.63910290637705
beta.comm[462],beta.comm,1,91.75655719307659
beta.comm[463],beta.comm,1,91.83768017397881
beta.comm[464],beta.comm,1,100.28586482207268
beta.comm[465],beta.comm,1,113.1823670722281
beta.comm[466],beta.comm,1,89.47314998400597
beta.comm[467],beta.comm,1,74.26257865607153
beta.comm[468],beta.comm,1,115.36723100737387
