mean,sd,q025,median,q975,metric,grid_cell
1,0,1,1,1,synchrony,1971
1,0,1,1,1,synchrony,1972
1,0,1,1,1,synchrony,1973
1,0,1,1,1,synchrony,1974
1,0,1,1,1,synchrony,1975
1,0,1,1,1,synchrony,1976
1,0,1,1,1,synchrony,1977
1,0,1,1,1,synchrony,1978
1,0,1,1,1,synchrony,1979
1,0,1,1,1,synchrony,1980
1,0,1,1,1,synchrony,1981
1,0,1,1,1,synchrony,1982
1,0,1,1,1,synchrony,1983
1,0,1,1,1,synchrony,1984
1,0,1,1,1,synchrony,1985
1,0,1,1,1,synchrony,1986
1,0,1,1,1,synchrony,1987
1,0,1,1,1,synchrony,1988
1,0,1,1,1,synchrony,1989
1,0,1,1,1,synchrony,1990
1,0,1,1,1,synchrony,1991
1,0,1,1,1,synchrony,1992
1,0,1,1,1,synchrony,1993
1,0,1,1,1,synchrony,1994
1,0,1,1,1,synchrony,1995
1,0,1,1,1,synchrony,1996
1,0,1,1,1,synchrony,1997
1,0,1,1,1,synchrony,1998
1,0,1,1,1,synchrony,2024
1,0,1,1,1,synchrony,2027
1,0,1,1,1,synchrony,2028
1,0,1,1,1,synchrony,2039
1,0,1,1,1,synchrony,2040
1,0,1,1,1,synchrony,2041
1,0,1,1,1,synchrony,2044
1,0,1,1,1,synchrony,2045
1,0,1,1,1,synchrony,2046
1,0,1,1,1,synchrony,2047
1,0,1,1,1,synchrony,2048
1,0,1,1,1,synchrony,2049
1,0,1,1,1,synchrony,2050
1,0,1,1,1,synchrony,2051
1,0,1,1,1,synchrony,2052
1,0,1,1,1,synchrony,2053
1,0,1,1,1,synchrony,2054
1,0,1,1,1,synchrony,2055
1,0,1,1,1,synchrony,2056
1,0,1,1,1,synchrony,2057
1,0,1,1,1,synchrony,2058
1,0,1,1,1,synchrony,2059
1,0,1,1,1,synchrony,2060
1,0,1,1,1,synchrony,2061
1,0,1,1,1,synchrony,2062
1,0,1,1,1,synchrony,2063
1,0,1,1,1,synchrony,2064
1,0,1,1,1,synchrony,2065
1,0,1,1,1,synchrony,2066
1,0,1,1,1,synchrony,2067
1,0,1,1,1,synchrony,2068
1,0,1,1,1,synchrony,2069
1,0,1,1,1,synchrony,2111
1,0,1,1,1,synchrony,2112
1,0,1,1,1,synchrony,2113
1,0,1,1,1,synchrony,2114
1,0,1,1,1,synchrony,2116
1,0,1,1,1,synchrony,2117
1,0,1,1,1,synchrony,2118
1,0,1,1,1,synchrony,2119
1,0,1,1,1,synchrony,2120
1,0,1,1,1,synchrony,2121
1,0,1,1,1,synchrony,2122
1,0,1,1,1,synchrony,2123
1,0,1,1,1,synchrony,2124
1,0,1,1,1,synchrony,2125
1,0,1,1,1,synchrony,2126
1,0,1,1,1,synchrony,2127
1,0,1,1,1,synchrony,2128
1,0,1,1,1,synchrony,2129
1,0,1,1,1,synchrony,2130
1,0,1,1,1,synchrony,2131
1,0,1,1,1,synchrony,2132
1,0,1,1,1,synchrony,2133
1,0,1,1,1,synchrony,2134
1,0,1,1,1,synchrony,2135
1,0,1,1,1,synchrony,2136
1,0,1,1,1,synchrony,2137
1,0,1,1,1,synchrony,2138
1,0,1,1,1,synchrony,2139
1,0,1,1,1,synchrony,2140
1,0,1,1,1,synchrony,2171
1,0,1,1,1,synchrony,2182
1,0,1,1,1,synchrony,2183
1,0,1,1,1,synchrony,2184
1,0,1,1,1,synchrony,2186
1,0,1,1,1,synchrony,2187
1,0,1,1,1,synchrony,2188
1,0,1,1,1,synchrony,2189
1,0,1,1,1,synchrony,2191
1,0,1,1,1,synchrony,2193
1,0,1,1,1,synchrony,2194
1,0,1,1,1,synchrony,2195
1,0,1,1,1,synchrony,2196
1,0,1,1,1,synchrony,2197
1,0,1,1,1,synchrony,2198
1,0,1,1,1,synchrony,2199
1,0,1,1,1,synchrony,2200
1,0,1,1,1,synchrony,2201
1,0,1,1,1,synchrony,2202
1,0,1,1,1,synchrony,2203
1,0,1,1,1,synchrony,2204
1,0,1,1,1,synchrony,2205
1,0,1,1,1,synchrony,2206
1,0,1,1,1,synchrony,2207
1,0,1,1,1,synchrony,2208
1,0,1,1,1,synchrony,2209
1,0,1,1,1,synchrony,2210
1,0,1,1,1,synchrony,2211
1,0,1,1,1,synchrony,2212
1,0,1,1,1,synchrony,2213
1,0,1,1,1,synchrony,2214
1,0,1,1,1,synchrony,2240
1,0,1,1,1,synchrony,2241
1,0,1,1,1,synchrony,2250
1,0,1,1,1,synchrony,2254
1,0,1,1,1,synchrony,2255
1,0,1,1,1,synchrony,2257
1,0,1,1,1,synchrony,2258
1,0,1,1,1,synchrony,2259
1,0,1,1,1,synchrony,2260
1,0,1,1,1,synchrony,2261
1,0,1,1,1,synchrony,2262
1,0,1,1,1,synchrony,2263
1,0,1,1,1,synchrony,2264
1,0,1,1,1,synchrony,2265
1,0,1,1,1,synchrony,2266
1,0,1,1,1,synchrony,2267
1,0,1,1,1,synchrony,2268
1,0,1,1,1,synchrony,2269
1,0,1,1,1,synchrony,2270
1,0,1,1,1,synchrony,2271
1,0,1,1,1,synchrony,2272
1,0,1,1,1,synchrony,2273
1,0,1,1,1,synchrony,2274
1,0,1,1,1,synchrony,2275
1,0,1,1,1,synchrony,2276
1,0,1,1,1,synchrony,2277
1,0,1,1,1,synchrony,2278
1,0,1,1,1,synchrony,2279
1,0,1,1,1,synchrony,2280
1,0,1,1,1,synchrony,2281
1,0,1,1,1,synchrony,2282
1,0,1,1,1,synchrony,2283
1,0,1,1,1,synchrony,2284
1,0,1,1,1,synchrony,2285
1,0,1,1,1,synchrony,2286
1,0,1,1,1,synchrony,2312
